"District","FIPS","Year","Variable","Measure Type","Value"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Four Year Graduation Rate","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Still Enrolled After Four Years Count","Number","8"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Other Count","Number","0"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Other Rate","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2017-2018","Total Cohort Count","Number","32"
"Capital Preparatory Harbor School Inc. District","","2017-2018","Four Year Graduation Count","Number","18"
"Capital Preparatory Harbor School Inc. District","","2017-2018","Four Year Graduation Rate","Percent","56.3"
"Capital Preparatory Harbor School Inc. District","","2017-2018","Still Enrolled After Four Years Count","Number","10"
"Capital Preparatory Harbor School Inc. District","","2017-2018","Still Enrolled After Four Years Rate","Percent","31.3"
"Capital Preparatory Harbor School Inc. District","","2017-2018","Other Count","Number","-9999"
"Capital Preparatory Harbor School Inc. District","","2017-2018","Other Rate","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2018-2019","Total Cohort Count","Number","31"
"Capital Preparatory Harbor School Inc. District","","2018-2019","Four Year Graduation Count","Number","21"
"Capital Preparatory Harbor School Inc. District","","2018-2019","Four Year Graduation Rate","Percent","67.7"
"Capital Preparatory Harbor School Inc. District","","2018-2019","Still Enrolled After Four Years Count","Number","9"
"Capital Preparatory Harbor School Inc. District","","2018-2019","Still Enrolled After Four Years Rate","Percent","29.0"
"Capital Preparatory Harbor School Inc. District","","2018-2019","Other Count","Number","-9999"
"Capital Preparatory Harbor School Inc. District","","2018-2019","Other Rate","Percent","-9999"
"Capitol Region Education Council","","2010-2011","Total Cohort Count","Number","299"
"Capitol Region Education Council","","2010-2011","Four Year Graduation Count","Number","250"
"Capitol Region Education Council","","2010-2011","Four Year Graduation Rate","Percent","83.6"
"Capitol Region Education Council","","2010-2011","Still Enrolled After Four Years Count","Number","16"
"Capitol Region Education Council","","2010-2011","Still Enrolled After Four Years Rate","Percent","5.4"
"Capitol Region Education Council","","2010-2011","Other Count","Number","33"
"Capitol Region Education Council","","2010-2011","Other Rate","Percent","11.0"
"Capitol Region Education Council","","2011-2012","Total Cohort Count","Number","335"
"Capitol Region Education Council","","2011-2012","Four Year Graduation Count","Number","266"
"Capitol Region Education Council","","2011-2012","Four Year Graduation Rate","Percent","79.4"
"Capitol Region Education Council","","2011-2012","Still Enrolled After Four Years Count","Number","21"
"Capitol Region Education Council","","2011-2012","Still Enrolled After Four Years Rate","Percent","6.3"
"Capitol Region Education Council","","2011-2012","Other Count","Number","48"
"Capitol Region Education Council","","2011-2012","Other Rate","Percent","14.3"
"Capitol Region Education Council","","2012-2013","Total Cohort Count","Number","246"
"Capitol Region Education Council","","2012-2013","Four Year Graduation Count","Number","209"
"Capitol Region Education Council","","2012-2013","Four Year Graduation Rate","Percent","85.0"
"Capitol Region Education Council","","2012-2013","Still Enrolled After Four Years Count","Number","11"
"Capitol Region Education Council","","2012-2013","Still Enrolled After Four Years Rate","Percent","4.5"
"Capitol Region Education Council","","2012-2013","Other Count","Number","26"
"Capitol Region Education Council","","2012-2013","Other Rate","Percent","10.6"
"Capitol Region Education Council","","2013-2014","Total Cohort Count","Number","317"
"Capitol Region Education Council","","2013-2014","Four Year Graduation Count","Number","281"
"Capitol Region Education Council","","2013-2014","Four Year Graduation Rate","Percent","88.6"
"Capitol Region Education Council","","2013-2014","Still Enrolled After Four Years Count","Number","7"
"Capitol Region Education Council","","2013-2014","Still Enrolled After Four Years Rate","Percent","2.2"
"Capitol Region Education Council","","2013-2014","Other Count","Number","29"
"Capitol Region Education Council","","2013-2014","Other Rate","Percent","9.1"
"Capitol Region Education Council","","2014-2015","Total Cohort Count","Number","323"
"Capitol Region Education Council","","2014-2015","Four Year Graduation Count","Number","292"
"Capitol Region Education Council","","2014-2015","Four Year Graduation Rate","Percent","90.4"
"Capitol Region Education Council","","2014-2015","Still Enrolled After Four Years Count","Number","14"
"Capitol Region Education Council","","2014-2015","Still Enrolled After Four Years Rate","Percent","4.3"
"Capitol Region Education Council","","2014-2015","Other Count","Number","17"
"Capitol Region Education Council","","2014-2015","Other Rate","Percent","5.3"
"Capitol Region Education Council","","2015-2016","Total Cohort Count","Number","425"
"Capitol Region Education Council","","2015-2016","Four Year Graduation Count","Number","393"
"Capitol Region Education Council","","2015-2016","Four Year Graduation Rate","Percent","92.5"
"Capitol Region Education Council","","2015-2016","Still Enrolled After Four Years Count","Number","12"
"Capitol Region Education Council","","2015-2016","Still Enrolled After Four Years Rate","Percent","2.8"
"Capitol Region Education Council","","2015-2016","Other Count","Number","17"
"Capitol Region Education Council","","2015-2016","Other Rate","Percent","4.0"
"Capitol Region Education Council","","2016-2017","Total Cohort Count","Number","496"
"Capitol Region Education Council","","2016-2017","Four Year Graduation Count","Number","458"
"Capitol Region Education Council","","2016-2017","Four Year Graduation Rate","Percent","92.3"
"Capitol Region Education Council","","2016-2017","Still Enrolled After Four Years Count","Number","17"
"Capitol Region Education Council","","2016-2017","Still Enrolled After Four Years Rate","Percent","3.4"
"Capitol Region Education Council","","2016-2017","Other Count","Number","21"
"Capitol Region Education Council","","2016-2017","Other Rate","Percent","4.2"
"Capitol Region Education Council","","2017-2018","Total Cohort Count","Number","534"
"Capitol Region Education Council","","2017-2018","Four Year Graduation Count","Number","507"
"Capitol Region Education Council","","2017-2018","Four Year Graduation Rate","Percent","94.9"
"Capitol Region Education Council","","2017-2018","Still Enrolled After Four Years Count","Number","14"
"Capitol Region Education Council","","2017-2018","Still Enrolled After Four Years Rate","Percent","2.6"
"Capitol Region Education Council","","2017-2018","Other Count","Number","13"
"Capitol Region Education Council","","2017-2018","Other Rate","Percent","2.4"
"Capitol Region Education Council","","2018-2019","Total Cohort Count","Number","505"
"Capitol Region Education Council","","2018-2019","Four Year Graduation Count","Number","469"
"Capitol Region Education Council","","2018-2019","Four Year Graduation Rate","Percent","92.9"
"Capitol Region Education Council","","2018-2019","Still Enrolled After Four Years Count","Number","19"
"Capitol Region Education Council","","2018-2019","Still Enrolled After Four Years Rate","Percent","3.8"
"Capitol Region Education Council","","2018-2019","Other Count","Number","17"
"Capitol Region Education Council","","2018-2019","Other Rate","Percent","3.4"
"Chaplin School District","","2010-2011","Total Cohort Count","Number","-6666"
"Chaplin School District","","2010-2011","Four Year Graduation Count","Number","-6666"
"Chaplin School District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Chaplin School District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Chaplin School District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Chaplin School District","","2010-2011","Other Count","Number","-6666"
"Chaplin School District","","2010-2011","Other Rate","Percent","-6666"
"Chaplin School District","","2011-2012","Total Cohort Count","Number","-6666"
"Chaplin School District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Chaplin School District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Chaplin School District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Chaplin School District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Chaplin School District","","2011-2012","Other Count","Number","-6666"
"Chaplin School District","","2011-2012","Other Rate","Percent","-6666"
"Chaplin School District","","2012-2013","Total Cohort Count","Number","-6666"
"Chaplin School District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Chaplin School District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Chaplin School District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Chaplin School District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Chaplin School District","","2012-2013","Other Count","Number","-6666"
"Chaplin School District","","2012-2013","Other Rate","Percent","-6666"
"Chaplin School District","","2013-2014","Total Cohort Count","Number","-6666"
"Chaplin School District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Chaplin School District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Chaplin School District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Chaplin School District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Chaplin School District","","2013-2014","Other Count","Number","-6666"
"Chaplin School District","","2013-2014","Other Rate","Percent","-6666"
"Chaplin School District","","2014-2015","Total Cohort Count","Number","-6666"
"Chaplin School District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Chaplin School District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
