"District","FIPS","Year","Variable","Measure Type","Value"
"Ansonia School District","900901220","2012-2013","Other Count","Number","27"
"Ansonia School District","900901220","2012-2013","Other Rate","Percent","12.7"
"Ansonia School District","900901220","2013-2014","Total Cohort Count","Number","157"
"Ansonia School District","900901220","2013-2014","Four Year Graduation Count","Number","120"
"Ansonia School District","900901220","2013-2014","Four Year Graduation Rate","Percent","76.4"
"Ansonia School District","900901220","2013-2014","Still Enrolled After Four Years Count","Number","10"
"Ansonia School District","900901220","2013-2014","Still Enrolled After Four Years Rate","Percent","6.4"
"Ansonia School District","900901220","2013-2014","Other Count","Number","27"
"Ansonia School District","900901220","2013-2014","Other Rate","Percent","17.2"
"Ansonia School District","900901220","2014-2015","Total Cohort Count","Number","172"
"Ansonia School District","900901220","2014-2015","Four Year Graduation Count","Number","144"
"Ansonia School District","900901220","2014-2015","Four Year Graduation Rate","Percent","83.7"
"Ansonia School District","900901220","2014-2015","Still Enrolled After Four Years Count","Number","17"
"Ansonia School District","900901220","2014-2015","Still Enrolled After Four Years Rate","Percent","9.9"
"Ansonia School District","900901220","2014-2015","Other Count","Number","11"
"Ansonia School District","900901220","2014-2015","Other Rate","Percent","6.4"
"Ansonia School District","900901220","2015-2016","Total Cohort Count","Number","138"
"Ansonia School District","900901220","2015-2016","Four Year Graduation Count","Number","112"
"Ansonia School District","900901220","2015-2016","Four Year Graduation Rate","Percent","81.2"
"Ansonia School District","900901220","2015-2016","Still Enrolled After Four Years Count","Number","12"
"Ansonia School District","900901220","2015-2016","Still Enrolled After Four Years Rate","Percent","8.7"
"Ansonia School District","900901220","2015-2016","Other Count","Number","14"
"Ansonia School District","900901220","2015-2016","Other Rate","Percent","10.1"
"Ansonia School District","900901220","2016-2017","Total Cohort Count","Number","179"
"Ansonia School District","900901220","2016-2017","Four Year Graduation Count","Number","150"
"Ansonia School District","900901220","2016-2017","Four Year Graduation Rate","Percent","83.8"
"Ansonia School District","900901220","2016-2017","Still Enrolled After Four Years Count","Number","12"
"Ansonia School District","900901220","2016-2017","Still Enrolled After Four Years Rate","Percent","6.7"
"Ansonia School District","900901220","2016-2017","Other Count","Number","17"
"Ansonia School District","900901220","2016-2017","Other Rate","Percent","9.5"
"Ansonia School District","900901220","2017-2018","Total Cohort Count","Number","169"
"Ansonia School District","900901220","2017-2018","Four Year Graduation Count","Number","145"
"Ansonia School District","900901220","2017-2018","Four Year Graduation Rate","Percent","85.8"
"Ansonia School District","900901220","2017-2018","Still Enrolled After Four Years Count","Number","8"
"Ansonia School District","900901220","2017-2018","Still Enrolled After Four Years Rate","Percent","4.7"
"Ansonia School District","900901220","2017-2018","Other Count","Number","16"
"Ansonia School District","900901220","2017-2018","Other Rate","Percent","9.5"
"Ansonia School District","900901220","2018-2019","Total Cohort Count","Number","181"
"Ansonia School District","900901220","2018-2019","Four Year Graduation Count","Number","157"
"Ansonia School District","900901220","2018-2019","Four Year Graduation Rate","Percent","86.7"
"Ansonia School District","900901220","2018-2019","Still Enrolled After Four Years Count","Number","9"
"Ansonia School District","900901220","2018-2019","Still Enrolled After Four Years Rate","Percent","5.0"
"Ansonia School District","900901220","2018-2019","Other Count","Number","15"
"Ansonia School District","900901220","2018-2019","Other Rate","Percent","8.3"
"Area Cooperative Educational Services","","2010-2011","Total Cohort Count","Number","-6666"
"Area Cooperative Educational Services","","2010-2011","Four Year Graduation Count","Number","-6666"
"Area Cooperative Educational Services","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Area Cooperative Educational Services","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Area Cooperative Educational Services","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Area Cooperative Educational Services","","2010-2011","Other Count","Number","-6666"
"Area Cooperative Educational Services","","2010-2011","Other Rate","Percent","-6666"
"Area Cooperative Educational Services","","2011-2012","Total Cohort Count","Number","-6666"
"Area Cooperative Educational Services","","2011-2012","Four Year Graduation Count","Number","-6666"
"Area Cooperative Educational Services","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Area Cooperative Educational Services","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Area Cooperative Educational Services","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Area Cooperative Educational Services","","2011-2012","Other Count","Number","-6666"
"Area Cooperative Educational Services","","2011-2012","Other Rate","Percent","-6666"
"Area Cooperative Educational Services","","2012-2013","Total Cohort Count","Number","-6666"
"Area Cooperative Educational Services","","2012-2013","Four Year Graduation Count","Number","-6666"
"Area Cooperative Educational Services","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Area Cooperative Educational Services","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Area Cooperative Educational Services","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Area Cooperative Educational Services","","2012-2013","Other Count","Number","-6666"
"Area Cooperative Educational Services","","2012-2013","Other Rate","Percent","-6666"
"Area Cooperative Educational Services","","2013-2014","Total Cohort Count","Number","-6666"
"Area Cooperative Educational Services","","2013-2014","Four Year Graduation Count","Number","-6666"
"Area Cooperative Educational Services","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Area Cooperative Educational Services","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Area Cooperative Educational Services","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Area Cooperative Educational Services","","2013-2014","Other Count","Number","-6666"
"Area Cooperative Educational Services","","2013-2014","Other Rate","Percent","-6666"
"Area Cooperative Educational Services","","2014-2015","Total Cohort Count","Number","-6666"
"Area Cooperative Educational Services","","2014-2015","Four Year Graduation Count","Number","-6666"
"Area Cooperative Educational Services","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Area Cooperative Educational Services","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Area Cooperative Educational Services","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Area Cooperative Educational Services","","2014-2015","Other Count","Number","-6666"
"Area Cooperative Educational Services","","2014-2015","Other Rate","Percent","-6666"
"Area Cooperative Educational Services","","2015-2016","Total Cohort Count","Number","-6666"
"Area Cooperative Educational Services","","2015-2016","Four Year Graduation Count","Number","-6666"
"Area Cooperative Educational Services","","2015-2016","Four Year Graduation Rate","Percent","-6666"
"Area Cooperative Educational Services","","2015-2016","Still Enrolled After Four Years Count","Number","-6666"
"Area Cooperative Educational Services","","2015-2016","Still Enrolled After Four Years Rate","Percent","-6666"
"Area Cooperative Educational Services","","2015-2016","Other Count","Number","-6666"
"Area Cooperative Educational Services","","2015-2016","Other Rate","Percent","-6666"
"Area Cooperative Educational Services","","2016-2017","Total Cohort Count","Number","-6666"
"Area Cooperative Educational Services","","2016-2017","Four Year Graduation Count","Number","-6666"
"Area Cooperative Educational Services","","2016-2017","Four Year Graduation Rate","Percent","-6666"
"Area Cooperative Educational Services","","2016-2017","Still Enrolled After Four Years Count","Number","-6666"
"Area Cooperative Educational Services","","2016-2017","Still Enrolled After Four Years Rate","Percent","-6666"
"Area Cooperative Educational Services","","2016-2017","Other Count","Number","-6666"
"Area Cooperative Educational Services","","2016-2017","Other Rate","Percent","-6666"
"Area Cooperative Educational Services","","2017-2018","Total Cohort Count","Number","-6666"
