Facility Code,District Name,School Name,CAPT School Classification,SPI OVERALL 2013,SPI OVERALL Status,Black SPI OVERALL 2013,Black SPI OVERALL Status,Hispanic SPI OVERALL 2013,Hispanic SPI OVERALL Status,ELL SPI OVERALL 2013,ELL SPI OVERALL Status,FRL SPI OVERALL 2013,FRL SPI OVERALL Status,SWD SPI OVERALL 2013,SWD SPI OVERALL Status,High Needs SPI OVERALL 2013,High Needs SPI OVERALL Status,SPI MATH 2013,SPI MATH Target Status,SPI READ 2013,SPI READ Status,SPI WRITE 2013,SPI WRITE Status,SPI SCIENCE 2013,SPI SCIENCE Status
0576111,Greenwich School District,Greenwich High School,TRANSITIONING,87.8,Yes,,n/a,75,Yes,67.1,Yes,68.1,Yes,65.9,Yes,70.4,Yes,85.2,No,87.1,Yes,93,Yes,87.6,Yes
0586211,Griswold School District,Griswold High School,TRANSITIONING,75.5,Yes,,,,,,,65.5,No,42.5,Yes,61.2,Yes,70.4,No,72.9,Yes,87.3,Yes,78.7,Yes
0596111,Groton School District,Fitch Senior High School,TRANSITIONING,72.5,Yes,63.4,Yes,60.4,Yes,,,61,Yes,34.8,Yes,57.8,Yes,73.8,Yes,71.2,Yes,76.5,No,71.2,Yes
0606111,Guilford School District,Guilford High School,EXCELLING,91.8,Yes,,,,,,,84,No,67.7,No,77.1,No,90.9,Yes,90.2,Yes,96,Yes,91.4,Yes
0626111,Hamden School District,Hamden High School,TRANSITIONING,64.6,No,50.4,No,66.2,Yes,,,50.3,No,28.9,No,47.4,No,61.4,No,63.2,No,76,Yes,63.2,No
0645411,Hartford School District,Hartford Magnet Trinity College Academy,PROGRESSING,71.9,n/a,,,64.2,n/a,,,65.3,n/a,,,63.2,n/a,64.2,n/a,71.2,n/a,79.8,n/a,79.3,n/a
0646011,Hartford School District,Culinary Arts Academy,FOCUS,31.6,No,30.3,No,,n/a,,,31.6,No,,,31.6,No,25.2,No,31.2,No,45.1,No,25.2,No
0646111,Hartford School District,Bulkeley High School Lower School,REVIEW,36.2,No,37.3,No,35.1,No,20.3,No,36.2,No,25.6,No,36.2,No,27.2,No,38.3,No,48.6,No,34.1,No
0646411,Hartford School District,Classical Magnet School,PROGRESSING,74.3,Yes,69.1,Yes,,n/a,,,69.9,Yes,,,69.9,Yes,63.4,Yes,76.6,Yes,84.4,No,74.8,Yes
0646511,Hartford School District,Sports and Medical Sciences Academy,TRANSITIONING,69.8,No,65.4,No,65.4,No,,,69.8,No,,,69.8,No,65.4,No,67.3,No,83.3,No,65.9,No
